filepath,xmin,xmax,ymin,ymax
/content/drive/MyDrive/data-test/images_labeled/N1.xml,1093,1396,645,727
/content/drive/MyDrive/data-test/images_labeled/N100.xml,134,301,312,350
/content/drive/MyDrive/data-test/images_labeled/N101.xml,31,139,128,161
/content/drive/MyDrive/data-test/images_labeled/N102.xml,164,316,216,243
/content/drive/MyDrive/data-test/images_labeled/N103.xml,813,1067,665,724
/content/drive/MyDrive/data-test/images_labeled/N104.xml,66,154,166,197
/content/drive/MyDrive/data-test/images_labeled/N105.xml,360,434,174,195
/content/drive/MyDrive/data-test/images_labeled/N106.xml,137,262,249,290
/content/drive/MyDrive/data-test/images_labeled/N107.xml,207,356,174,287
/content/drive/MyDrive/data-test/images_labeled/N108.xml,184,342,220,257
/content/drive/MyDrive/data-test/images_labeled/N109.xml,148,239,250,320
/content/drive/MyDrive/data-test/images_labeled/N11.xml,131,187,130,144
/content/drive/MyDrive/data-test/images_labeled/N110.xml,183,249,211,227
/content/drive/MyDrive/data-test/images_labeled/N111.xml,80,239,364,402
/content/drive/MyDrive/data-test/images_labeled/N112.xml,179,347,256,290
/content/drive/MyDrive/data-test/images_labeled/N113.xml,39,108,129,157
/content/drive/MyDrive/data-test/images_labeled/N114.xml,15,200,33,126
/content/drive/MyDrive/data-test/images_labeled/N116.xml,157,316,226,278
/content/drive/MyDrive/data-test/images_labeled/N117.xml,120,249,161,202
/content/drive/MyDrive/data-test/images_labeled/N118.xml,532,852,636,706
/content/drive/MyDrive/data-test/images_labeled/N119.xml,180,559,216,314
/content/drive/MyDrive/data-test/images_labeled/N12.xml,976,1284,669,754
/content/drive/MyDrive/data-test/images_labeled/N120.xml,647,736,332,387
/content/drive/MyDrive/data-test/images_labeled/N121.xml,311,506,324,370
/content/drive/MyDrive/data-test/images_labeled/N122.xml,342,494,243,288
/content/drive/MyDrive/data-test/images_labeled/N123.xml,11,246,78,165
/content/drive/MyDrive/data-test/images_labeled/N124.xml,165,328,276,324
/content/drive/MyDrive/data-test/images_labeled/N126.xml,149,399,269,327
/content/drive/MyDrive/data-test/images_labeled/N127.xml,24,142,209,245
/content/drive/MyDrive/data-test/images_labeled/N128.xml,58,221,198,271
/content/drive/MyDrive/data-test/images_labeled/N129.xml,301,504,351,402
/content/drive/MyDrive/data-test/images_labeled/N130.xml,419,513,173,213
/content/drive/MyDrive/data-test/images_labeled/N131.xml,198,349,107,143
/content/drive/MyDrive/data-test/images_labeled/N132.xml,111,320,133,286
/content/drive/MyDrive/data-test/images_labeled/N133.xml,795,1095,751,840
/content/drive/MyDrive/data-test/images_labeled/N134.xml,230,365,188,219
/content/drive/MyDrive/data-test/images_labeled/N135.xml,157,341,197,247
/content/drive/MyDrive/data-test/images_labeled/N136.xml,787,910,473,513
/content/drive/MyDrive/data-test/images_labeled/N137.xml,401,593,456,493
/content/drive/MyDrive/data-test/images_labeled/N138.xml,36,465,64,168
/content/drive/MyDrive/data-test/images_labeled/N139.xml,341,607,954,1011
/content/drive/MyDrive/data-test/images_labeled/N14.xml,1058,1351,660,756
/content/drive/MyDrive/data-test/images_labeled/N140.xml,346,423,197,221
/content/drive/MyDrive/data-test/images_labeled/N141.xml,150,348,255,296
/content/drive/MyDrive/data-test/images_labeled/N142.xml,66,174,234,259
/content/drive/MyDrive/data-test/images_labeled/N143.xml,115,524,144,296
/content/drive/MyDrive/data-test/images_labeled/N144.xml,39,177,201,275
/content/drive/MyDrive/data-test/images_labeled/N145.xml,233,432,88,151
/content/drive/MyDrive/data-test/images_labeled/N147.xml,424,613,548,591
/content/drive/MyDrive/data-test/images_labeled/N148.xml,244,369,240,293
/content/drive/MyDrive/data-test/images_labeled/N149.xml,186,324,116,148
/content/drive/MyDrive/data-test/images_labeled/N15.xml,582,853,622,691
/content/drive/MyDrive/data-test/images_labeled/N150.xml,172,372,97,143
/content/drive/MyDrive/data-test/images_labeled/N151.xml,144,277,216,252
/content/drive/MyDrive/data-test/images_labeled/N152.xml,265,725,247,347
/content/drive/MyDrive/data-test/images_labeled/N153.xml,133,279,352,385
/content/drive/MyDrive/data-test/images_labeled/N154.xml,106,245,157,196
/content/drive/MyDrive/data-test/images_labeled/N155.xml,145,313,167,201
/content/drive/MyDrive/data-test/images_labeled/N156.xml,49,106,230,249
/content/drive/MyDrive/data-test/images_labeled/N158.xml,122,224,268,292
/content/drive/MyDrive/data-test/images_labeled/N16.xml,887,1173,625,696
/content/drive/MyDrive/data-test/images_labeled/N160.xml,153,251,196,217
/content/drive/MyDrive/data-test/images_labeled/N162.xml,147,336,169,209
/content/drive/MyDrive/data-test/images_labeled/N163.xml,230,316,203,231
/content/drive/MyDrive/data-test/images_labeled/N164.xml,248,421,121,174
/content/drive/MyDrive/data-test/images_labeled/N165.xml,186,374,290,335
/content/drive/MyDrive/data-test/images_labeled/N166.xml,809,1034,246,295
/content/drive/MyDrive/data-test/images_labeled/N167.xml,345,848,242,416
/content/drive/MyDrive/data-test/images_labeled/N168.xml,271,474,514,561
/content/drive/MyDrive/data-test/images_labeled/N169.xml,167,413,208,263
/content/drive/MyDrive/data-test/images_labeled/N17.xml,88,216,507,556
/content/drive/MyDrive/data-test/images_labeled/N170.xml,299,442,337,386
/content/drive/MyDrive/data-test/images_labeled/N171.xml,13,444,137,270
/content/drive/MyDrive/data-test/images_labeled/N172.xml,147,370,133,184
/content/drive/MyDrive/data-test/images_labeled/N173.xml,80,335,150,243
/content/drive/MyDrive/data-test/images_labeled/N174.xml,315,665,442,531
/content/drive/MyDrive/data-test/images_labeled/N175.xml,183,250,205,229
/content/drive/MyDrive/data-test/images_labeled/N176.xml,195,383,320,358
/content/drive/MyDrive/data-test/images_labeled/N177.xml,331,538,263,317
/content/drive/MyDrive/data-test/images_labeled/N178.xml,210,335,289,351
/content/drive/MyDrive/data-test/images_labeled/N179.xml,203,297,217,240
/content/drive/MyDrive/data-test/images_labeled/N18.xml,373,528,366,408
/content/drive/MyDrive/data-test/images_labeled/N181.xml,361,499,381,432
/content/drive/MyDrive/data-test/images_labeled/N183.xml,216,343,155,190
/content/drive/MyDrive/data-test/images_labeled/N184.xml,229,1391,204,660
/content/drive/MyDrive/data-test/images_labeled/N185.xml,321,559,420,484
/content/drive/MyDrive/data-test/images_labeled/N186.xml,464,561,286,344
/content/drive/MyDrive/data-test/images_labeled/N187.xml,572,839,461,535
/content/drive/MyDrive/data-test/images_labeled/N188.xml,587,711,760,832
/content/drive/MyDrive/data-test/images_labeled/N189.xml,178,381,121,181
/content/drive/MyDrive/data-test/images_labeled/N19.xml,99,216,367,423
/content/drive/MyDrive/data-test/images_labeled/N190.xml,896,1558,814,969
/content/drive/MyDrive/data-test/images_labeled/N191.xml,317,568,319,397
/content/drive/MyDrive/data-test/images_labeled/N192.xml,543,769,390,461
